;Код ОВД     ;Год         ;Номер документа      ;Номер престу;Дата пос тановки  в ИЦ     ;Текст решения                                                                                                                                      ;Дата решения            ;Фамилия сл-ля                                            ;Шифр докумен;Дата соз дания за писи     ;Код принятого решения      ;Кто приня л решение (код)     
1065;1;2014;1339801;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1066;1;2014;1340201;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1067;1;2014;1340701;1;27.04.2016;Возобн.приост.ст208ч.1п.1                         ;04.03.2016;СОЛОМКО             ;3;02.05.2016;174;2
1068;1;2014;1341001;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1069;1;2014;1341201;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1070;1;2014;1341601;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1071;1;2014;1341701;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1072;1;2014;1341801;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1073;1;2014;1342401;1;23.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;ОСИПОВА             ;3;23.05.2016;174;5
1074;1;2014;1342501;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;08.04.2016;174;5
1075;1;2014;1342601;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1076;1;2014;1342701;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1077;1;2014;1342801;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1078;1;2014;1343401;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1079;1;2014;1343501;1;20.01.2016;Возобн.приост.ст208ч.1п.1                         ;19.01.2016;ОСИПОВА             ;3;25.01.2016;174;5
1080;1;2014;1344001;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1081;1;2014;1344101;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1082;1;2014;1345001;1;29.02.2016;Возобн.приост.ст208ч.1п.1                         ;26.02.2016;ЧЕРЕПАНОВА          ;3;02.03.2016;174;5
1083;1;2014;1345601;1;20.01.2016;Возобн.приост.ст208ч.1п.1                         ;19.01.2016;ОСИПОВА             ;3;25.01.2016;174;5
1084;1;2014;1345701;1;20.01.2016;Возобн.приост.ст208ч.1п.1                         ;19.01.2016;ОСИПОВА             ;3;25.01.2016;174;5
1085;1;2014;1347201;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1086;1;2014;1347301;1;29.02.2016;Возобн.приост.ст208ч.1п.1                         ;26.02.2016;ЧЕРЕПАНОВА          ;3;02.03.2016;174;5
1087;1;2014;1348901;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1088;1;2014;1349101;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
